#Sunbury Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Sunbury,Diggers Rest,Watergardens,Keilor Plains,St Albans,Ginifer,Albion,Sunshine,Tottenham,West Footscray,Middle Footscray,Footscray,South Kensington,North Melbourne,Flagstaff,Melbourne Central,Parliament,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Parliament,Melbourne Central,Flagstaff,Southern Cross
t110,-,-,14:11,14:14,14:17,14:19,14:22,14:24,14:28,14:30,14:32,14:34,|,14:39,Ê,Ê,Ê,14:43,14:47,14:49,14:51,14:53,14:54,-
t111,-,-,-,-,-,-,-,-,-,-,-,14:37,14:40,14:43,Ê,Ê,Ê,14:46,14:50,-,-,-,-,-
t112,-,-,-,-,-,-,-,-,-,-,-,14:47,14:50,14:53,Ê,Ê,Ê,14:56,15:00,-,-,-,-,-
t113,14:20,14:24,14:31,14:34,14:37,14:39,14:42,14:44,14:48,14:50,14:52,14:54,|,14:59,Ê,Ê,Ê,15:03,15:07,15:09,15:11,15:13,15:14,-
t114,-,-,-,-,-,-,-,-,-,-,-,14:57,15:00,15:03,Ê,Ê,Ê,15:06,15:10,-,-,-,-,-
t115,-,-,-,-,-,-,-,-,-,-,-,15:07,15:10,15:13,Ê,Ê,Ê,15:16,15:20,-,-,-,-,-
t116,-,-,14:51,14:54,14:57,14:59,15:02,15:04,15:08,15:10,15:12,15:14,|,15:19,Ê,Ê,Ê,15:22,15:27,15:27,15:29,15:31,15:32,-
t117,-,-,-,-,-,-,-,-,-,-,-,15:17,15:20,15:23,Ê,Ê,Ê,15:26,15:30,-,-,-,-,-
t118,-,-,-,-,-,-,-,-,-,-,-,15:27,15:30,15:33,Ê,Ê,Ê,15:36,15:40,-,-,-,-,-
t119,15:00,15:04,15:11,15:14,15:17,15:19,15:22,15:24,15:28,15:30,15:32,15:34,|,15:39,Ê,Ê,Ê,15:42,15:47,15:47,15:49,15:51,15:52,-
t120,-,-,-,-,-,-,-,-,-,-,-,15:37,15:40,15:43,Ê,Ê,Ê,15:46,15:50,-,-,-,-,-
t121,-,-,-,-,-,-,-,-,-,-,-,15:47,15:50,15:53,Ê,Ê,Ê,15:56,16:00,-,-,-,-,-
t122,-,-,15:31,15:34,15:37,15:39,15:42,15:44,15:48,15:50,15:52,15:54,|,15:59,Ê,Ê,Ê,16:02,16:06,-,-,-,-,-
t123,-,-,-,-,-,-,-,-,-,-,-,15:57,16:00,16:03,Ê,Ê,Ê,16:06,16:10,-,-,-,-,-
t124,-,-,-,-,-,-,-,-,-,-,-,16:07,16:10,16:13,Ê,Ê,Ê,16:16,16:20,-,-,-,-,-
t125,15:40,15:44,15:51,15:54,15:57,15:59,16:02,16:04,16:08,16:10,16:12,16:14,|,16:19,Ê,Ê,Ê,16:22,16:27,16:27,16:29,16:31,16:32,-
t126,-,-,-,-,-,-,-,-,-,-,-,16:17,16:20,16:23,Ê,Ê,Ê,16:26,16:30,-,-,-,-,-
t127,-,-,-,-,-,-,-,-,-,-,-,16:26,16:29,16:32,Ê,Ê,Ê,16:35,16:39,-,-,-,-,-
t128,-,-,16:11,16:14,16:17,16:19,16:22,16:24,16:28,16:30,16:32,16:34,|,16:39,Ê,Ê,Ê,16:44,16:50,16:50,16:52,16:54,16:55,-
t129,-,-,-,-,-,-,-,-,-,-,-,16:35,16:38,16:41,Ê,Ê,Ê,16:44,16:48,-,-,-,-,-
t130,16:14,|,|,|,|,|,|,|,|,|,|,|,|,|,Ê,Ê,Ê,16:52,16:58,-,-,-,-,-
t131,-,-,-,-,-,-,-,-,-,-,-,16:45,16:48,16:51,Ê,Ê,Ê,16:54,16:58,-,-,-,-,-
t132,-,-,16:28,16:31,16:34,16:36,16:39,16:41,16:45,16:47,16:49,16:51,|,16:56,Ê,Ê,Ê,17:01,17:07,17:07,17:09,17:11,17:12,-
t133,-,-,-,-,-,-,-,-,-,-,-,16:53,|,16:59,Ê,Ê,Ê,17:02,17:07,-,-,-,-,-
t134,16:20,16:24,16:31,16:34,16:37,16:39,16:42,16:44,16:48,16:50,16:52,16:54,|,16:59,Ê,Ê,Ê,17:04,17:10,17:10,17:12,17:14,17:15,-
t135,-,-,-,-,-,-,-,-,-,-,-,16:58,17:01,17:04,Ê,Ê,Ê,17:07,17:11,-,-,-,-,-
t136,-,-,-,-,-,-,-,-,-,-,-,17:08,17:11,17:14,Ê,Ê,Ê,17:17,17:21,-,-,-,-,-
t137,-,-,-,-,-,-,-,-,-,-,-,17:13,|,17:19,Ê,Ê,Ê,17:22,17:27,-,-,-,-,-
t138,-,-,16:51,16:54,16:57,16:59,17:02,17:04,17:08,17:10,17:12,17:14,|,17:19,Ê,Ê,Ê,17:24,17:29,-,-,-,-,-
t139,-,-,-,-,-,-,-,-,-,-,-,17:18,17:21,17:24,Ê,Ê,Ê,17:28,17:33,-,-,-,-,-
t140,-,-,-,-,-,-,-,-,-,-,-,17:26,17:29,17:32,Ê,Ê,Ê,17:35,17:40,-,-,-,-,-
t141,-,-,-,-,-,-,-,-,-,-,-,17:32,17:35,17:38,Ê,Ê,Ê,17:41,17:47,-,-,-,-,-
t142,17:00,17:04,17:11,17:14,17:17,17:19,17:22,17:24,17:28,17:30,17:32,17:34,|,17:39,Ê,Ê,Ê,17:44,17:50,17:50,17:52,17:54,17:55,-
t143,-,-,-,-,-,-,-,-,-,-,-,17:36,17:39,17:42,Ê,Ê,Ê,17:45,17:49,-,-,-,-,-
t144,-,-,-,-,-,-,-,-,-,-,-,17:39,17:42,17:45,Ê,Ê,Ê,17:48,17:52,-,-,-,-,-
t145,-,-,-,-,-,-,-,-,-,-,-,17:45,17:48,17:51,Ê,Ê,Ê,17:54,17:58,-,-,-,-,-
t146,-,-,-,-,-,-,-,-,-,-,-,17:48,17:51,17:54,Ê,Ê,Ê,17:57,18:01,-,-,-,-,-
t147,-,-,17:31,17:34,17:37,17:39,17:42,17:44,17:48,17:50,17:52,17:54,|,17:59,Ê,Ê,Ê,18:02,18:07,18:07,18:09,18:11,18:12,-
t148,-,-,-,-,-,-,-,-,-,-,-,17:55,17:58,18:01,Ê,Ê,Ê,18:04,18:08,-,-,-,-,-
