#Alamein Line - To City,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,
#station,Alamein,Asburton,Burwood,Hartwell,Willison,Riversdale,Camberwell,Auburn,Glenferrie,Hawthorn,Burnley,East Richmond,Richmond,Parliament,Melbourne Central,Flagstaff,Southern Cross,Flinders Street (ARR),Flinders Street (DEP),Southern Cross,Flagstaff,Melbourne Central,Parliament
t125,-,-,-,-,-,-,16:53,16:55,16:57,16:59,17:01,17:03,17:05,,,,,17:09,-,-,-,-,-
t126,16:43,16:44,16:46,16:48,16:50,16:52,16:55,16:57,16:59,17:01,17:03,|,17:06,,,,,17:10,17:13,17:16,17:18,17:20,17:21
t127,-,-,-,-,-,-,16:59,|,17:02,|,|,|,17:08,,,,,17:12,17:15,17:18,17:20,17:22,17:23
t128,-,-,-,-,-,-,17:02,|,17:05,|,|,|,17:11,,,,,17:15,17:17,17:20,17:22,17:24,17:25
t129,-,-,-,-,-,-,17:08,17:10,17:12,17:14,17:16,17:18,17:20,,,,,17:25,-,-,-,-,-
t130,16:58,16:59,17:01,17:03,17:05,17:07,17:10,17:12,17:14,17:16,17:18,|,17:21,,,,,17:25,-,-,-,-,-
t131,-,-,-,-,-,-,17:14,|,17:17,|,|,|,17:23,,,,,17:28,17:31,17:34,17:36,17:38,17:39
t132,-,-,-,-,-,-,17:17,|,17:20,|,|,|,17:26,,,,,17:30,17:33,17:36,17:38,17:40,17:41
t133,17:10,17:11,17:13,17:15,17:17,17:19,17:22,17:24,17:26,17:28,17:30,17:32,17:34,,,,,17:38,-,-,-,-,-
t134,-,-,-,-,-,-,17:24,17:26,17:28,17:30,17:32,|,17:35,,,,,17:39,-,-,-,-,-
t135,-,-,-,-,-,-,17:29,|,|,|,|,|,17:37,,,,,17:41,17:43,17:46,17:48,17:50,17:51
t136,-,-,-,-,-,-,17:32,|,17:35,|,|,|,17:41,,,,,17:45,17:48,17:51,17:53,17:55,17:56
t137,17:24,17:25,17:27,17:29,17:31,17:33,17:36,|,17:39,|,|,|,17:45,,,,,17:49,-,-,-,-,-
t138,-,-,-,-,-,-,17:38,17:40,17:42,17:44,17:46,|,17:49,,,,,17:53,-,-,-,-,-
t139,-,-,-,-,-,-,17:44,|,17:47,|,|,|,17:53,,,,,17:58,-,-,-,-,-
t140,17:39,17:40,17:42,17:44,17:46,17:48,17:51,17:53,17:55,17:57,17:59,18:01,18:03,,,,,18:07,-,-,-,-,-
t141,-,-,-,-,-,-,17:53,17:55,17:57,17:59,18:01,|,18:04,,,,,18:08,-,-,-,-,-
t142,-,-,-,-,-,-,17:59,|,18:02,|,|,|,18:08,,,,,18:12,-,-,-,-,-
t143,-,-,-,-,-,-,18:02,|,18:05,|,|,|,18:11,,,,,18:16,-,-,-,-,-
t144,17:53,17:54,17:56,17:58,18:00,18:02,18:05,18:07,18:09,18:11,18:13,18:15,18:17,,,,,18:21,18:24,18:27,18:29,18:31,18:32
t145,-,-,-,-,-,-,18:08,18:10,18:12,18:14,18:16,18:18,18:20,,,,,18:24,18:27,18:30,18:32,18:33,18:34
t146,-,-,-,-,-,-,18:16,|,|,|,|,|,18:24,,,,,18:28,18:33,18:36,18:38,18:39,18:40
t147,18:07,18:08,18:10,18:12,18:14,18:16,18:19,18:21,18:23,18:25,18:27,18:29,18:31,,,,,18:35,-,-,-,-,-
t148,-,-,-,-,-,-,18:23,18:25,18:27,18:29,18:31,18:33,18:35,,,,,18:39,-,-,-,-,-
t149,-,-,-,-,-,-,18:26,|,18:29,|,|,|,18:36,,,,,18:40,-,-,-,-,-
t150,-,-,-,-,-,-,18:32,|,|,|,|,|,18:40,,,,,18:44,-,-,-,-,-
t151,18:22,18:23,18:25,18:27,18:29,18:31,18:34,18:36,18:38,18:40,18:42,18:44,18:46,,,,,18:51,18:54,18:57,18:59,19:00,19:01
t152,-,-,-,-,-,-,18:38,18:40,18:42,18:44,18:46,18:48,18:50,,,,,18:54,-,-,-,-,-
t153,-,-,-,-,-,-,18:44,|,18:47,|,|,|,18:53,,,,,18:57,-,-,-,-,-
t154,-,-,-,-,-,-,18:51,|,18:54,|,|,|,19:00,,,,,19:04,-,-,-,-,-
t155,18:41,18:42,18:44,18:46,18:48,18:50,18:53,18:55,18:57,18:59,19:01,19:03,19:05,,,,,19:09,-,-,-,-,-
t156,-,-,-,-,-,-,19:05,19:07,19:09,19:11,19:13,|,19:16,,,,,19:20,19:29,19:32,19:34,19:35,19:36
t157,19:06,19:07,19:09,19:11,19:12,19:14,19:17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t158,-,-,-,-,-,-,19:20,19:22,19:24,19:26,19:28,|,19:31,,,,,19:35,-,-,-,-,-
t159,-,-,-,-,-,-,19:34,|,|,|,|,|,19:42,,,,,19:46,-,-,-,-,-
t160,19:24,19:25,19:27,19:29,19:31,19:33,19:36,19:38,19:40,19:42,19:44,19:46,19:48,,,,,19:52,-,-,-,-,-
t161,-,-,-,-,-,-,19:47,19:49,19:51,19:53,19:55,|,19:58,,,,,20:02,-,-,-,-,-
t162,19:41,19:42,19:44,19:46,19:47,19:49,19:52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t163,19:52,19:53,19:55,19:57,19:58,20:00,20:03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
t164,-,-,-,-,-,-,20:05,20:07,20:09,20:11,20:13,|,20:16,,,,,20:20,20:29,20:32,20:34,20:35,20:36
t165,-,-,-,-,-,-,20:25,|,|,|,|,|,20:33,,,,,20:37,-,-,-,-,-
t166,20:16,20:17,20:19,20:21,20:22,20:24,20:27,20:29,20:31,20:33,20:35,20:37,20:39,,,,,20:43,20:50,20:53,20:55,20:56,20:57
t167,-,-,-,-,-,-,20:44,20:46,20:48,20:50,20:52,|,20:55,,,,,20:59,21:05,21:08,21:10,21:11,21:12
