#Belgrave Line - To City,,,,,,,,,,,,,,,,,,,,,,,,
"# - : no train;  | : non-stop train (train goes through the station but does not stop, blank field (empty field) : train does not go through the station (e.g. morning dep from Flinders to suburbs does go through city loop)",,,,,,,,,,,,,,,,,,,,,,,,
#station,Belgrave,Tecoma,Upwey,Upper Ferntree Gully (ARR),Upper Ferntree Gully (DEP),Ferntree Gully,Boronia,Bayswater,Heathmont,Ringwood,Heatherdale,Mitcham,Nunawading,Blackburn,Laburnum,Box Hill,Mont Albert,Surrey Hills,Chatham,Canterbury,East Camberwell,Camberwell,Auburn,Glenferrie
t149,-,-,-,-,-,-,-,-,-,18:03,18:05,18:07,18:10,18:13,18:15,18:18,|,18:20,|,|,|,18:26,|,18:29
t150,-,-,-,-,-,-,-,-,-,18:10,18:12,18:14,18:17,18:20,18:22,18:25,|,|,|,|,|,18:32,|,|
t151,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:34,18:36,18:38
t152,-,-,-,-,-,-,-,-,-,-,-,-,-,18:22,18:24,18:27,18:29,18:30,18:32,18:34,18:36,18:38,18:40,18:42
t153,17:59,18:01,18:03,18:07,18:07,18:10,18:12,18:15,18:19,18:22,18:24,18:26,18:29,18:32,18:34,18:37,|,|,|,|,|,18:44,|,18:47
t154,-,-,-,-,-,-,-,-,-,18:25,18:27,18:29,18:32,18:35,18:37,18:40,18:42,18:43,18:45,18:47,18:49,18:51,|,18:54
t155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18:53,18:55,18:57
t156,18:16,18:18,18:20,18:24,18:24,18:27,18:29,18:32,18:36,18:39,18:41,18:43,18:46,18:49,18:51,18:54,18:56,18:57,18:59,19:01,19:03,19:05,19:07,19:09
t157,-,-,-,-,-,-,-,-,-,18:54,18:56,18:58,19:01,19:04,19:06,19:09,19:11,19:12,19:14,19:16,19:18,19:20,19:22,19:24
t158,18:41,18:43,18:45,18:49,18:53,18:56,18:58,19:01,19:05,19:08,19:10,19:12,19:15,19:18,19:20,19:23,19:25,19:26,19:28,19:30,19:32,19:34,|,|
t159,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:36,19:38,19:40
t160,-,-,-,-,-,-,-,-,-,19:21,19:23,19:25,19:28,19:31,19:33,19:36,19:38,19:39,19:41,19:43,19:45,19:47,19:49,19:51
t161,19:08,19:10,19:12,19:16,19:22,19:25,19:27,19:30,19:34,19:37,|,|,|,|,|,|,|,|,|,|,|,|,|,|
t162,-,-,-,-,-,-,-,-,-,19:39,19:41,19:43,19:46,19:49,19:51,19:54,19:56,19:57,19:59,20:01,20:03,20:05,20:07,20:09
t163,19:36,19:38,19:40,19:44,19:44,19:47,19:49,19:52,19:56,19:59,20:01,20:03,20:06,20:09,20:11,20:14,20:16,20:17,20:19,20:21,20:23,20:25,|,|
t164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20:27,20:29,20:31
t165,-,-,-,-,-,-,-,-,-,20:18,20:20,20:22,20:25,20:28,20:30,20:33,20:35,20:36,20:38,20:40,20:42,20:44,20:46,20:48
t166,20:09,20:11,20:13,20:17,20:19,20:22,20:24,20:27,20:31,20:34,|,|,|,20:41,|,20:45,|,|,|,|,|,20:52,20:54,20:56
t167,-,-,-,-,-,-,-,-,-,20:36,20:38,20:40,20:43,20:46,20:48,20:51,20:53,20:54,20:56,20:58,21:00,21:02,21:04,21:06
t168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:08,|,|
t169,20:41,20:43,20:45,20:49,20:51,20:54,20:56,20:59,21:03,21:06,21:08,21:10,21:13,21:16,21:18,21:21,21:23,21:24,21:26,21:28,21:30,21:32,21:34,21:36
